LoanID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,CIBIL_Score,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months
149,3600,3575,0.14,36,small_business,0,RENT,2500,725,4,1,0
150,11625,11625,0.14,36,debt_consolidation,0.23,MORTGAGE,2833.33,705,6,27411,2
151,30000,30000,0.21,36,credit_card,0.17,MORTGAGE,12500,670,14,19096,2
152,16000,16000,0.09,36,debt_consolidation,0.2,RENT,7083.33,720,11,6185,1
153,10800,10700,0.11,36,major_purchase,0.15,MORTGAGE,8400,715,6,24675,0
154,25000,23655.48,0.17,60,debt_consolidation,0.14,MORTGAGE,7666.67,705,15,28748,3
155,10000,10000,0.14,60,other,0.15,RENT,3916.67,710,9,5188,4
156,12375,275,0.11,36,small_business,0.16,MORTGAGE,3892.75,690,11,8332,2
157,6000,6000,0.11,36,credit_card,0.18,MORTGAGE,5031.67,705,9,50935,0
158,8000,8000,0.13,36,debt_consolidation,0.15,RENT,5000,685,18,4786,1
159,15000,15000,0.18,36,credit_card,0.1,MORTGAGE,5000,660,11,14596,0
160,7000,7000,0.18,36,other,0.32,RENT,3333.33,665,12,35604,3
161,8400,8400,0.07,36,renewable_energy,0.13,RENT,3000,745,9,6998,1
162,15000,15000,0.08,36,debt_consolidation,0.19,MORTGAGE,4500,740,10,17212,0
163,15000,14925,0.14,36,debt_consolidation,0.13,RENT,5000,665,7,11368,1
164,2800,2800,0.1,36,major_purchase,0.12,RENT,2083.33,695,7,7261,0
165,7750,7750,0.16,36,debt_consolidation,0.27,MORTGAGE,2916.67,680,18,17102,0
166,4500,4500,0.09,36,credit_card,0.18,RENT,2166.67,700,8,5361,0
167,17500,17375,0.13,36,debt_consolidation,0.22,RENT,3666.67,715,7,20010,0
168,18000,18000,0.15,60,debt_consolidation,0.05,RENT,5258.5,710,6,11596,0
169,15000,14975,0.15,60,debt_consolidation,0.18,MORTGAGE,2748,720,14,7956,1
170,6000,6000,0.15,36,credit_card,0.2,OWN,4583.33,665,13,8077,1
171,11500,11475,0.11,36,credit_card,0.28,RENT,2750,700,6,9079,0
172,10000,10000,0.13,36,credit_card,0.08,RENT,2500,685,8,10906,0
173,12000,12000,0.09,36,credit_card,0.12,RENT,5000,725,5,13940,0
174,10000,10000,0.12,36,debt_consolidation,0.18,MORTGAGE,5000,685,7,13202,0
175,35000,34975,0.21,60,debt_consolidation,0.18,RENT,7916.67,680,8,19789,2
176,7200,7100,0.1,60,major_purchase,0.18,RENT,3000,750,7,2753,1
177,4000,3975,0.08,60,car,0.04,OWN,4000,800,16,6696,0
178,5300,5200,0.11,36,debt_consolidation,0.08,MORTGAGE,8333.33,740,5,73258,1
179,1200,1200,0.08,36,other,0.09,MORTGAGE,3833.33,730,14,350,1
180,2500,2500,0.11,36,major_purchase,0.1,RENT,4333.33,720,4,4922,0
181,17000,16975,0.14,36,debt_consolidation,0.26,OWN,7500,700,21,39130,3
182,16000,16000,0.08,36,credit_card,0.12,MORTGAGE,8416.67,695,14,21913,1
183,10000,9950,0.13,36,debt_consolidation,0.04,MORTGAGE,6666.67,695,8,7967,1
184,5000,5000,0.1,36,debt_consolidation,0.25,MORTGAGE,6250,700,9,33705,0
185,4375,4375,0.19,36,credit_card,0.09,RENT,2916.67,670,9,6944,2
186,8500,8475,0.06,36,home_improvement,0.12,MORTGAGE,6100,745,17,6370,0
187,12000,12000,0.17,60,small_business,0.15,MORTGAGE,7500,675,14,28589,2
188,6200,6100,0.09,36,other,0.19,RENT,5000,740,17,9367,0
189,7000,7000,0.18,36,debt_consolidation,0.19,MORTGAGE,2000,660,10,7315,2
190,20800,20800,0.13,60,debt_consolidation,0.07,MORTGAGE,6541.67,730,9,13197,0
191,19200,19200,0.13,60,other,0.03,MORTGAGE,8333.33,745,14,50625,3
192,22000,22000,0.16,60,debt_consolidation,0.21,MORTGAGE,5416.67,700,9,10267,1
193,15000,15000,0.19,36,debt_consolidation,0.25,RENT,6000,675,12,12162,0
194,7000,6965.1,0.19,36,debt_consolidation,0.17,RENT,5000,665,11,13859,0
195,20000,20000,0.09,36,credit_card,0.17,RENT,4916.67,730,10,14952,2
196,2000,2000,0.06,36,moving,0.18,RENT,5733.58,745,9,21998,0
197,18000,17738.58,0.11,60,major_purchase,0.15,MORTGAGE,4000,755,9,6718,0
198,20800,20775,0.11,36,home_improvement,0.22,OWN,11666.67,790,6,682,1
199,9000,8875,0.08,36,debt_consolidation,0.15,MORTGAGE,5708.33,725,9,12217,0
200,6000,6000,0.14,36,credit_card,0.23,RENT,2666.67,670,18,5955,0
201,5000,5000,0.16,36,debt_consolidation,0.34,RENT,3750,665,18,5414,3
202,12000,11975,0.15,60,credit_card,0.22,RENT,4186,685,9,9398,0
203,7000,1998,0.08,36,credit_card,0.06,MORTGAGE,7583.33,750,9,21135,0
204,6000,5950,0.1,36,major_purchase,0.09,MORTGAGE,15416.67,715,9,105730,1
205,17000,16975,0.14,36,debt_consolidation,0.18,MORTGAGE,9166.67,700,14,16230,4
206,12000,11975,0.09,36,credit_card,0.19,RENT,4750,750,13,25577,1
207,16350,16350,0.08,36,credit_card,0.25,OWN,4541.67,730,7,25731,0
208,20000,20000,0.08,36,debt_consolidation,0.2,MORTGAGE,4625,755,14,31335,1
209,12300,12300,0.12,36,debt_consolidation,0.1,RENT,6583.33,690,15,12450,0
210,4800,4800,0.13,36,moving,0.05,RENT,2666.67,690,3,7911,0
211,14500,14500,0.08,36,credit_card,0.12,RENT,4500,735,8,16398,0
212,4200,4200,0.09,36,debt_consolidation,0.1,MORTGAGE,2254,700,7,4490,0
213,22250,22250,0.14,36,credit_card,0.32,MORTGAGE,6583.33,690,18,44868,0
214,8000,8000,0.14,36,home_improvement,0.08,RENT,25000,675,6,28579,1
215,8325,8325,0.18,36,debt_consolidation,0.21,RENT,2000,665,7,7676,0
216,14000,14000,0.13,36,debt_consolidation,0.08,OWN,10416.67,730,4,4776,0
217,9000,9000,0.1,36,debt_consolidation,0.04,MORTGAGE,6000,705,6,5659,0
218,16000,16000,0.13,36,credit_card,0.18,MORTGAGE,6083.33,680,13,15148,0
219,15200,13694.22,0.11,36,credit_card,0.15,MORTGAGE,7916.67,760,7,217827,2
220,24000,24000,0.11,36,debt_consolidation,0.15,RENT,3750,725,5,24708,0
221,16450,16450,0.15,36,debt_consolidation,0.12,MORTGAGE,6666.67,685,8,12697,3
222,7500,7500,0.12,36,home_improvement,0.27,MORTGAGE,5000,710,8,9047,1
223,4750,4750,0.22,36,debt_consolidation,0.24,RENT,1333.33,665,9,4752,2
224,6500,6500,0.08,36,debt_consolidation,0.13,RENT,6750,720,17,33229,0
225,5500,5450,0.19,60,debt_consolidation,0.18,RENT,1750,660,6,4492,6
226,9600,9600,0.06,36,home_improvement,0.08,MORTGAGE,6250,750,7,765,0
227,12000,11975,0.12,36,major_purchase,0.31,OWN,4166.67,710,21,28703,2
228,2000,2000,0.08,36,other,0.17,RENT,1500,730,5,2925,0
229,18000,18000,0.25,60,moving,0.15,RENT,4000,665,10,7377,3
230,5825,5825,0.12,36,home_improvement,0.04,OWN,3750,690,4,5643,0
231,2500,2500,0.15,36,home_improvement,0.23,RENT,2530,670,7,5276,6
232,7200,7200,0.2,60,other,0.02,RENT,5500,660,13,2130,0
233,8000,8000,0.14,36,other,0.12,RENT,3941.58,670,15,9660,0
234,25000,24675,0.21,60,home_improvement,0.19,MORTGAGE,6000,665,17,12757,2
235,2500,2500,0.14,36,medical,0.21,RENT,2666.67,665,9,15787,0
236,20000,2050,0.13,36,home_improvement,0.01,MORTGAGE,3500,750,6,1954,5
237,6250,6250,0.13,36,debt_consolidation,0.29,RENT,1779.17,720,19,7455,1
238,12375,12375,0.14,36,debt_consolidation,0.22,MORTGAGE,2083.33,680,8,12226,0
239,18000,18000,0.1,36,debt_consolidation,0.17,MORTGAGE,6666.67,685,16,19850,1
240,3300,3300,0.07,36,other,0.2,RENT,3333.33,760,10,0,2
241,21000,21000,0.18,60,other,0.16,MORTGAGE,8833.33,700,11,29293,0
242,24575,24575,0.16,36,debt_consolidation,0.2,MORTGAGE,5250,695,8,20858,2
243,5000,4900,0.08,36,other,0.14,RENT,5166.67,750,8,15489,1
244,20000,20000,0.16,36,debt_consolidation,0.24,MORTGAGE,5833.33,680,14,12696,1
245,13250,13250,0.07,36,debt_consolidation,0.29,MORTGAGE,5750,750,12,7174,3
246,10000,9975,0.09,36,major_purchase,0.03,MORTGAGE,10167,790,9,16,3
247,20000,19950,0.11,36,debt_consolidation,0.11,RENT,8416.67,740,10,12283,0
248,10000,10000,0.08,36,debt_consolidation,0.14,MORTGAGE,4166.67,715,8,8455,0
249,12000,12000,0.12,36,debt_consolidation,0.15,MORTGAGE,5000,710,11,13235,2
250,8000,7950,0.08,36,home_improvement,0.13,MORTGAGE,3500,725,8,6834,2
251,11000,10950,0.09,36,credit_card,0.22,MORTGAGE,4200,760,6,8694,4
252,12500,12425,0.07,36,debt_consolidation,0.14,RENT,8237.5,730,15,13261,0
253,7500,0,0.11,36,credit_card,0.11,MORTGAGE,3750,685,15,5148,7
254,4825,4825,0.1,36,debt_consolidation,0.15,RENT,2400,705,14,6109,1
255,7550,7550,0.17,36,other,0.22,RENT,2880,670,2,1989,1
256,8000,7827.03,0.14,36,other,0.2,RENT,4000,675,7,2082,0
257,6000,6000,0.14,36,debt_consolidation,0.16,RENT,5083.33,670,11,10373,0
258,8000,8000,0.16,60,major_purchase,0.02,RENT,5291.67,700,4,1252,6
259,3000,3000,0.15,36,debt_consolidation,0.24,MORTGAGE,5000,665,6,5527,1
260,8000,7997.79,0.16,36,debt_consolidation,0.16,RENT,3750,665,8,7374,1
261,8400,8400,0.06,36,credit_card,0.09,OWN,3000,750,6,6215,0
262,35000,35000,0.15,36,medical,0.12,MORTGAGE,14166.67,720,7,103354,0
263,15000,15000,0.08,36,credit_card,0.22,OWN,5000,730,8,21555,0
264,7500,7475,0.11,36,home_improvement,0.08,MORTGAGE,7083.33,800,9,2245,7
265,24000,23665.54,0.1,60,debt_consolidation,0.17,RENT,7695.08,805,6,1502,0
266,21000,20975,0.21,60,debt_consolidation,0.18,MORTGAGE,8083.33,680,11,31080,2
267,6000,6000,0.08,36,debt_consolidation,0.09,RENT,8315.67,730,8,6239,0
268,4500,4500,0.07,36,major_purchase,0.01,MORTGAGE,65000,725,7,3015,4
269,29000,29000,0.18,36,debt_consolidation,0.16,RENT,7666.67,695,11,23319,0
270,20000,20000,0.15,36,debt_consolidation,0.27,RENT,5250,690,11,11343,1
271,7000,7000,0.1,36,debt_consolidation,0.11,MORTGAGE,4341.67,695,11,13638,0
272,5000,4950,0.1,36,other,0.01,RENT,2916.67,715,2,165,2
273,6000,6000,0.17,36,debt_consolidation,0.07,MORTGAGE,4025.67,665,6,6652,2
274,10000,10000,0.15,36,wedding,0.04,RENT,4480,670,9,7614,2
275,3200,3200,0.17,36,other,0.01,RENT,2917,665,4,1427,1
276,23000,23000,0.18,36,debt_consolidation,0.26,MORTGAGE,6625,685,17,19870,1
277,5000,1750.04,0.12,36,other,0.1,RENT,3416.67,670,17,15301,7
278,3000,3000,0.13,36,debt_consolidation,0.03,RENT,2083.33,715,3,844,0
279,12000,11975,0.11,60,debt_consolidation,0.18,RENT,3500,715,11,18808,0
280,20000,19975,0.14,60,debt_consolidation,0.31,RENT,4166.67,720,9,8810,0
281,1200,1200,0.16,36,debt_consolidation,0.27,RENT,2166.67,665,9,9076,1
282,8000,8000,0.07,36,credit_card,0.05,MORTGAGE,3000,780,5,6084,1
283,10000,9975,0.16,60,credit_card,0.18,MORTGAGE,5416.67,705,10,41329,0
284,11000,11000,0.13,36,other,0.22,MORTGAGE,7916.67,690,9,34314,1
285,18000,18000,0.16,36,credit_card,0.18,MORTGAGE,5250,670,11,9379,1
286,24000,23975,0.17,60,small_business,0.09,RENT,5000,705,4,323,1
287,8000,7925,0.19,60,other,0.1,MORTGAGE,5002.33,675,7,8421,1
288,6000,6000,0.12,36,other,0.21,RENT,3100,685,18,10426,0
289,35000,34950,0.17,36,debt_consolidation,0.23,RENT,6750,675,15,24626,1
290,1000,750,0.1,36,renewable_energy,0,MORTGAGE,1800,730,2,0,1
291,10000,10000,0.15,36,credit_card,0.28,RENT,3750,680,19,19385,1
292,6000,6000,0.16,36,medical,0.08,RENT,5000,670,7,14784,1
293,4000,4000,0.06,36,car,0.13,RENT,2916.67,750,7,2860,0
294,20000,20000,0.12,60,debt_consolidation,0.11,MORTGAGE,5416.67,745,10,20836,0
295,3500,690.34,0.14,36,medical,0.1,OTHER,3750,655,8,9771,4
296,24000,24000,0.2,60,debt_consolidation,0.03,RENT,8333.33,690,8,8224,1
297,8000,8000,0.14,36,debt_consolidation,0.14,RENT,3500,690,7,5074,2
298,12000,12000,0.07,36,credit_card,0.14,MORTGAGE,7125,775,15,20639,1
299,17600,17600,0.09,36,debt_consolidation,0.17,MORTGAGE,4166.67,750,8,235,1
300,5000,512.46,0.13,36,debt_consolidation,0.16,RENT,3333,665,11,14244,2
301,8000,8000,0.19,60,educational,0.06,RENT,2500,660,5,5770,2
302,10000,9850,0.1,36,debt_consolidation,0.17,MORTGAGE,4500,730,8,6948,2
303,16800,16800,0.07,36,debt_consolidation,0.04,OWN,16083.33,800,5,13470,1
304,6500,6450,0.1,60,home_improvement,0.07,MORTGAGE,2738.67,755,10,2345,1
305,35000,35000,0.08,36,home_improvement,0.21,MORTGAGE,12083.33,790,10,28864,0
306,9950,9950,0.14,36,debt_consolidation,0.04,MORTGAGE,4800,685,9,5038,1
307,5000,5000,0.1,36,debt_consolidation,0.29,RENT,3166.67,750,3,0,1
308,10000,10000,0.19,60,debt_consolidation,0.28,RENT,3726.67,695,23,10067,2
309,6000,6000,0.13,36,debt_consolidation,0.2,MORTGAGE,5833.33,685,6,5523,1
310,35000,35000,0.08,36,debt_consolidation,0.2,MORTGAGE,12083.33,770,15,35242,0
311,5600,5600,0.08,36,debt_consolidation,0.17,RENT,1916.67,705,8,3373,0
312,17000,17000,0.08,36,small_business,0.06,RENT,6250,795,4,1352,3
313,15000,15000,0.13,60,debt_consolidation,0.17,RENT,5666.67,715,13,10855,0
314,3000,3000,0.11,36,small_business,0.02,MORTGAGE,7750,685,7,874,0
315,12000,12000,0.18,36,credit_card,0.1,RENT,3083.33,665,10,4390,0
316,25000,25000,0.14,36,debt_consolidation,0.15,MORTGAGE,9000,705,11,22364,3
317,31075,31050,0.2,36,credit_card,0.26,OWN,6000,660,20,27221,2
318,4750,4750,0.14,60,debt_consolidation,0.23,RENT,1500,740,11,1687,3
319,6400,6375,0.12,36,credit_card,0.15,RENT,4166.67,680,7,15055,0
